author,authorLabel,birthDate,deathDate,awardLabel,sitelink
http://www.wikidata.org/entity/Q5946701,Juana de Vega,1805-03-07T00:00:00Z,1872-06-22T00:00:00Z,Dama de la Orden de Damas Nobles de la Reina María Luisa,https://es.wikipedia.org/wiki/Juana_de_Vega
http://www.wikidata.org/entity/Q464264,Rosalía de Castro,1837-02-23T00:00:00Z,1885-07-22T00:00:00Z,Día de las Letras Gallegas,https://es.wikipedia.org/wiki/Rosal%C3%ADa_de_Castro
http://www.wikidata.org/entity/Q6066919,Patrocinio de Biedma y la Moneda,1848-03-13T00:00:00Z,1927-09-14T00:00:00Z,Gran Cruz de la Orden Civil de Beneficencia,https://es.wikipedia.org/wiki/Patrocinio_de_Biedma
http://www.wikidata.org/entity/Q76158,Carolina Michaëlis de Vasconcellos,1851-03-15T00:00:00Z,1925-11-16T00:00:00Z,Officer of the Order of Saint James of the Sword,https://es.wikipedia.org/wiki/Carolina_Micha%C3%ABlis_de_Vasconcelos
http://www.wikidata.org/entity/Q5729862,Blanca de los Ríos,1859-08-15T00:00:00Z,1956-04-13T00:00:00Z,Gran Cruz de la Orden Civil de Alfonso XII,https://es.wikipedia.org/wiki/Blanca_de_los_R%C3%ADos
http://www.wikidata.org/entity/Q3398780,Sofía Casanova,1861-09-30T00:00:00Z,1958-01-16T00:00:00Z,Gran Cruz de la Orden Civil de Alfonso XII,https://es.wikipedia.org/wiki/Sof%C3%ADa_Casanova
http://www.wikidata.org/entity/Q3398780,Sofía Casanova,1861-09-30T00:00:00Z,1958-01-16T00:00:00Z,Gran Cruz de la Orden Civil de Beneficencia,https://es.wikipedia.org/wiki/Sof%C3%ADa_Casanova
http://www.wikidata.org/entity/Q5671635,Amalia Puga de Lozada,1866-09-08T00:00:00Z,1963-09-20T00:00:00Z,Orden El Sol del Perú,https://es.wikipedia.org/wiki/Amalia_Puga_de_Losada
http://www.wikidata.org/entity/Q3399032,Francisca Herrera Garrido,1869-03-06T00:00:00Z,1950-11-05T00:00:00Z,Día de las Letras Gallegas,https://es.wikipedia.org/wiki/Francisca_Herrera_Garrido
http://www.wikidata.org/entity/Q3751269,Concha Espina,1869-04-15T00:00:00Z,1955-05-19T00:00:00Z,Concurso Nacional de Literatura,https://es.wikipedia.org/wiki/Concha_Espina
http://www.wikidata.org/entity/Q3751269,Concha Espina,1869-04-15T00:00:00Z,1955-05-19T00:00:00Z,Medalla de Oro al Mérito en el Trabajo,https://es.wikipedia.org/wiki/Concha_Espina
http://www.wikidata.org/entity/Q3751269,Concha Espina,1869-04-15T00:00:00Z,1955-05-19T00:00:00Z,Gran Cruz de la Orden Civil de Alfonso X el Sabio,https://es.wikipedia.org/wiki/Concha_Espina
http://www.wikidata.org/entity/Q3751269,Concha Espina,1869-04-15T00:00:00Z,1955-05-19T00:00:00Z,Premio Nacional de Narrativa,https://es.wikipedia.org/wiki/Concha_Espina
http://www.wikidata.org/entity/Q3751269,Concha Espina,1869-04-15T00:00:00Z,1955-05-19T00:00:00Z,Orden de las Damas Nobles de la Reina María Luisa,https://es.wikipedia.org/wiki/Concha_Espina
http://www.wikidata.org/entity/Q3751269,Concha Espina,1869-04-15T00:00:00Z,1955-05-19T00:00:00Z,Premio Fastenrath,https://es.wikipedia.org/wiki/Concha_Espina
http://www.wikidata.org/entity/Q2914475,Caterina Albert,1869-09-11T00:00:00Z,1966-01-27T00:00:00Z,Premio Fastenrath,https://es.wikipedia.org/wiki/Caterina_Albert
http://www.wikidata.org/entity/Q6003731,María Enriqueta Camarillo y Roa de Pereyra,1872-01-19T00:00:00Z,1968-02-13T00:00:00Z,Orden Civil de Alfonso X el Sabio,https://es.wikipedia.org/wiki/Mar%C3%ADa_Enriqueta_Camarillo
http://www.wikidata.org/entity/Q6003731,María Enriqueta Camarillo y Roa de Pereyra,1872-01-19T00:00:00Z,1968-02-13T00:00:00Z,Orden de Isabel la Católica,https://es.wikipedia.org/wiki/Mar%C3%ADa_Enriqueta_Camarillo
http://www.wikidata.org/entity/Q3816879,María de la O Lejárraga,1874-12-28T00:00:00Z,1974-06-28T00:00:00Z,Real Academia Española,https://es.wikipedia.org/wiki/Mar%C3%ADa_de_la_O_Lej%C3%A1rraga
http://www.wikidata.org/entity/Q7367460,Rosaura Zapata,1876-01-01T00:00:00Z,1963-07-23T00:00:00Z,Medalla Belisario Domínguez,https://es.wikipedia.org/wiki/Rosaura_Zapata
http://www.wikidata.org/entity/Q50738599,Josefina Bolinaga,1880-01-01T00:00:00Z,1965-01-01T00:00:00Z,Concurso Nacional de Literatura,https://es.wikipedia.org/wiki/Josefina_Bolinaga
