author,authorLabel,birthDate,deathDate,countryLabel,mainWorkLabel,mainWork_missing,sitelink,length,1,length.
http://www.wikidata.org/entity/Q4776892,Antonio Puigblanch,1775-01-01T00:00:00Z,1840-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Antonio_Puigblanch,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Antonio_Puigblanch&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Antonio_Puigblanch"",""to"":""Antonio Puigblanch""}],""pages"":{""165079"":{""pageid"":165079,""ns"":0,""title"":""Antonio Puigblanch"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:40:56Z"",""lastrevid"":156221083,""length"":8951}}}}",8951
http://www.wikidata.org/entity/Q20536047,José Verea y Aguiar,1775-01-01T00:00:00Z,1849-04-17T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Jos%C3%A9_Verea_y_Aguiar,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Jos%C3%A9_Verea_y_Aguiar&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Jos\u00e9_Verea_y_Aguiar"",""to"":""Jos\u00e9 Verea y Aguiar""}],""pages"":{""7129343"":{""pageid"":7129343,""ns"":0,""title"":""Jos\u00e9 Verea y Aguiar"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:49:09Z"",""lastrevid"":156764216,""length"":4559}}}}",4559
http://www.wikidata.org/entity/Q18285985,Ramón de los Santos García Pérez,1775-01-01T00:00:00Z,1847-01-02T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Ram%C3%B3n_de_los_Santos_Garc%C3%ADa_P%C3%A9rez,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Ram%C3%B3n_de_los_Santos_Garc%C3%ADa_P%C3%A9rez&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Ram\u00f3n_de_los_Santos_Garc\u00eda_P\u00e9rez"",""to"":""Ram\u00f3n de los Santos Garc\u00eda P\u00e9rez""}],""pages"":{""6461815"":{""pageid"":6461815,""ns"":0,""title"":""Ram\u00f3n de los Santos Garc\u00eda P\u00e9rez"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:48:34Z"",""lastrevid"":156709094,""length"":4419}}}}",4419
http://www.wikidata.org/entity/Q20013896,Casiano Pellicer,1775-01-01T00:00:00Z,1806-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Casiano_Pellicer,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Casiano_Pellicer&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Casiano_Pellicer"",""to"":""Casiano Pellicer""}],""pages"":{""6593620"":{""pageid"":6593620,""ns"":0,""title"":""Casiano Pellicer"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:48:43Z"",""lastrevid"":160706183,""length"":5676}}}}",5676
http://www.wikidata.org/entity/Q5884009,Graciliano Afonso,1775-01-01T00:00:00Z,1861-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Graciliano_Afonso,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Graciliano_Afonso&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Graciliano_Afonso"",""to"":""Graciliano Afonso""}],""pages"":{""1062313"":{""pageid"":1062313,""ns"":0,""title"":""Graciliano Afonso"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:42:16Z"",""lastrevid"":163489579,""length"":11020}}}}",11020
http://www.wikidata.org/entity/Q97924975,Ignacio Graells y Ferrer,1775-01-26T00:00:00Z,1856-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Ignacio_Graells,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Ignacio_Graells&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Ignacio_Graells"",""to"":""Ignacio Graells""}],""pages"":{""9724239"":{""pageid"":9724239,""ns"":0,""title"":""Ignacio Graells"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:52:15Z"",""lastrevid"":142520442,""length"":3255}}}}",3255
http://www.wikidata.org/entity/Q6700816,Luis María Balanzat de Orvay y Briones,1775-03-27T00:00:00Z,1843-02-09T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Balanzat_de_Orvay_y_Briones,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Luis_Mar%C3%ADa_Balanzat_de_Orvay_y_Briones&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Luis_Mar\u00eda_Balanzat_de_Orvay_y_Briones"",""to"":""Luis Mar\u00eda Balanzat de Orvay y Briones""}],""pages"":{""4497624"":{""pageid"":4497624,""ns"":0,""title"":""Luis Mar\u00eda Balanzat de Orvay y Briones"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-06T14:35:52Z"",""lastrevid"":159492989,""length"":12491}}}}",12491
http://www.wikidata.org/entity/Q3047406,"José María Blanco Crespo ""Blanco White""",1775-07-11T00:00:00Z,1841-05-20T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Blanco_White,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Jos%C3%A9_Mar%C3%ADa_Blanco_White&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Jos\u00e9_Mar\u00eda_Blanco_White"",""to"":""Jos\u00e9 Mar\u00eda Blanco White""}],""pages"":{""116368"":{""pageid"":116368,""ns"":0,""title"":""Jos\u00e9 Mar\u00eda Blanco White"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-10T12:41:19Z"",""lastrevid"":166913751,""length"":76724}}}}",76724
http://www.wikidata.org/entity/Q724883,Alberto Lista,1775-10-15T00:00:00Z,1848-10-05T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Alberto_Lista,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Alberto_Lista&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Alberto_Lista"",""to"":""Alberto Lista""}],""pages"":{""95355"":{""pageid"":95355,""ns"":0,""title"":""Alberto Lista"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-10T12:41:14Z"",""lastrevid"":164408117,""length"":42971}}}}",42971
http://www.wikidata.org/entity/Q5867472,Francisco Severo Maldonado,1775-11-07T00:00:00Z,1832-05-08T00:00:00Z,México,,yes,https://es.wikipedia.org/wiki/Francisco_Severo_Maldonado,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Francisco_Severo_Maldonado&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Francisco_Severo_Maldonado"",""to"":""Francisco Severo Maldonado""}],""pages"":{""4834160"":{""pageid"":4834160,""ns"":0,""title"":""Francisco Severo Maldonado"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-10T12:40:56Z"",""lastrevid"":156286471,""length"":3984}}}}",3984
