author,authorLabel,birthDate,deathDate,countryLabel,mainWorkLabel,mainWork_missing,sitelink,api-length,1,length
http://www.wikidata.org/entity/Q5491433,Frasquita Larrea,1775-12-24T00:00:00Z,1838-08-24T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Frasquita_Larrea,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Frasquita_Larrea&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Frasquita_Larrea"",""to"":""Frasquita Larrea""}],""pages"":{""268816"":{""pageid"":268816,""ns"":0,""title"":""Frasquita Larrea"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:41:08Z"",""lastrevid"":167343564,""length"":9099}}}}",9099
http://www.wikidata.org/entity/Q8201097,Antonia Gutiérrez Bueno,1781-01-17T00:00:00Z,1874-04-06T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Antonia_Guti%C3%A9rrez_Bueno,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Antonia_Guti%C3%A9rrez_Bueno&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Antonia_Guti\u00e9rrez_Bueno"",""to"":""Antonia Guti\u00e9rrez Bueno""}],""pages"":{""5683373"":{""pageid"":5683373,""ns"":0,""title"":""Antonia Guti\u00e9rrez Bueno"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:47:32Z"",""lastrevid"":160177322,""length"":5288}}}}",5288
http://www.wikidata.org/entity/Q11705052,Vicenta Moguel,1782-06-06T00:00:00Z,1854-09-29T00:00:00Z,España,Ipui onac,,https://es.wikipedia.org/wiki/Vicenta_Moguel,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Vicenta_Moguel&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Vicenta_Moguel"",""to"":""Vicenta Moguel""}],""pages"":{""4822264"":{""pageid"":4822264,""ns"":0,""title"":""Vicenta Moguel"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:46:23Z"",""lastrevid"":167025148,""length"":8074}}}}",8074
http://www.wikidata.org/entity/Q12263218,María del Pilar Acedo y Sarria,1784-01-01T00:00:00Z,1869-02-27T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Pilar_Acedo_y_Sarri%C3%A1,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Mar%C3%ADa_del_Pilar_Acedo_y_Sarri%C3%A1&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Mar\u00eda_del_Pilar_Acedo_y_Sarri\u00e1"",""to"":""Mar\u00eda del Pilar Acedo y Sarri\u00e1""}],""pages"":{""6906746"":{""pageid"":6906746,""ns"":0,""title"":""Mar\u00eda del Pilar Acedo y Sarri\u00e1"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:48:54Z"",""lastrevid"":168043224,""length"":17923}}}}",17923
http://www.wikidata.org/entity/Q5997059,Margarita López de Morla y Virués de Segovia,1788-07-03T00:00:00Z,1850-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Margarita_L%C3%B3pez_de_Morla_y_Viru%C3%A9s,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Margarita_L%C3%B3pez_de_Morla_y_Viru%C3%A9s&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Margarita_L\u00f3pez_de_Morla_y_Viru\u00e9s"",""to"":""Margarita L\u00f3pez de Morla y Viru\u00e9s""}],""pages"":{""5372393"":{""pageid"":5372393,""ns"":0,""title"":""Margarita L\u00f3pez de Morla y Viru\u00e9s"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:47:05Z"",""lastrevid"":163213496,""length"":4527}}}}",4527
http://www.wikidata.org/entity/Q19458508,María Guadalupe Cuenca de Moreno,1790-01-01T00:00:00Z,1854-09-01T00:00:00Z,Bolivia,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Guadalupe_Cuenca,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Mar%C3%ADa_Guadalupe_Cuenca&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Mar\u00eda_Guadalupe_Cuenca"",""to"":""Mar\u00eda Guadalupe Cuenca""}],""pages"":{""9170223"":{""pageid"":9170223,""ns"":0,""title"":""Mar\u00eda Guadalupe Cuenca"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:51:37Z"",""lastrevid"":156426452,""length"":2773}}}}",2773
http://www.wikidata.org/entity/Q20005652,Maria Agnès Ribera Garau,1790-01-01T00:00:00Z,1861-11-22T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Maria_Agn%C3%A8s_Ribera_Garau,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Maria_Agn%C3%A8s_Ribera_Garau&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Maria_Agn\u00e8s_Ribera_Garau"",""to"":""Maria Agn\u00e8s Ribera Garau""}],""pages"":{""8261217"":{""pageid"":8261217,""ns"":0,""title"":""Maria Agn\u00e8s Ribera Garau"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:50:26Z"",""lastrevid"":161946746,""length"":4059}}}}",4059
http://www.wikidata.org/entity/Q116831668,Luisa Sáenz de Viniegra,1792-01-01T00:00:00Z,1865-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Luisa_Carlota_S%C3%A1enz_de_Viniegra,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Luisa_Carlota_S%C3%A1enz_de_Viniegra&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Luisa_Carlota_S\u00e1enz_de_Viniegra"",""to"":""Luisa Carlota S\u00e1enz de Viniegra""}],""pages"":{""10476807"":{""pageid"":10476807,""ns"":0,""title"":""Luisa Carlota S\u00e1enz de Viniegra"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:53:27Z"",""lastrevid"":155627438,""length"":6912}}}}",6912
http://www.wikidata.org/entity/Q6160970,Vicenta Maturana,1793-07-06T00:00:00Z,1859-05-15T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Vicenta_Maturana,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Vicenta_Maturana&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Vicenta_Maturana"",""to"":""Vicenta Maturana""}],""pages"":{""2377546"":{""pageid"":2377546,""ns"":0,""title"":""Vicenta Maturana"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:43:42Z"",""lastrevid"":160691805,""length"":4969}}}}",4969
http://www.wikidata.org/entity/Q6782028,María Josefa García Granados,1796-07-10T00:00:00Z,1848-07-28T00:00:00Z,Guatemala,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Garc%C3%ADa_Granados,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Mar%C3%ADa_Josefa_Garc%C3%ADa_Granados&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Mar\u00eda_Josefa_Garc\u00eda_Granados"",""to"":""Mar\u00eda Josefa Garc\u00eda Granados""}],""pages"":{""1119425"":{""pageid"":1119425,""ns"":0,""title"":""Mar\u00eda Josefa Garc\u00eda Granados"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:42:21Z"",""lastrevid"":167143188,""length"":22141}}}}",22141
http://www.wikidata.org/entity/Q291397,Fernán Caballero,1796-12-24T00:00:00Z,1877-04-07T00:00:00Z,España,La familia de Alvareda: Novela de costumbres populares,,https://es.wikipedia.org/wiki/Fern%C3%A1n_Caballero,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Fern%C3%A1n_Caballero&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Fern\u00e1n_Caballero"",""to"":""Fern\u00e1n Caballero""}],""pages"":{""242910"":{""pageid"":242910,""ns"":0,""title"":""Fern\u00e1n Caballero"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-10T12:41:44Z"",""lastrevid"":167343743,""length"":27143}}}}",27143
http://www.wikidata.org/entity/Q16601458,María Manuela López de Ulloa,1800-01-01T00:00:00Z,1900-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Manuela_L%C3%B3pez_de_Ulloa,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Mar%C3%ADa_Manuela_L%C3%B3pez_de_Ulloa&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Mar\u00eda_Manuela_L\u00f3pez_de_Ulloa"",""to"":""Mar\u00eda Manuela L\u00f3pez de Ulloa""}],""pages"":{""6264937"":{""pageid"":6264937,""ns"":0,""title"":""Mar\u00eda Manuela L\u00f3pez de Ulloa"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:48:19Z"",""lastrevid"":151378517,""length"":4919}}}}",4919
http://www.wikidata.org/entity/Q9030069,María Larraín de Vicuña,1801-01-01T00:00:00Z,1928-09-23T00:00:00Z,Chile,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Larra%C3%ADn_de_Vicu%C3%B1a,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Mar%C3%ADa_Larra%C3%ADn_de_Vicu%C3%B1a&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Mar\u00eda_Larra\u00edn_de_Vicu\u00f1a"",""to"":""Mar\u00eda Larra\u00edn de Vicu\u00f1a""}],""pages"":{""5699093"":{""pageid"":5699093,""ns"":0,""title"":""Mar\u00eda Larra\u00edn de Vicu\u00f1a"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:47:33Z"",""lastrevid"":164134372,""length"":2290}}}}",2290
http://www.wikidata.org/entity/Q135089377,Justa García Robledo,1801-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/818772cc21a23e4316a814f16116b43c,Perú,,yes,https://es.wikipedia.org/wiki/Justa_Garc%C3%ADa_Robledo,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Justa_Garc%C3%ADa_Robledo&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Justa_Garc\u00eda_Robledo"",""to"":""Justa Garc\u00eda Robledo""}],""pages"":{""11236597"":{""pageid"":11236597,""ns"":0,""title"":""Justa Garc\u00eda Robledo"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-13T08:54:30Z"",""lastrevid"":168961184,""length"":5133}}}}",5133
http://www.wikidata.org/entity/Q114774387,Walda Lucenqui de Pimentel,1801-01-01T00:00:00Z,,España,,yes,https://es.wikipedia.org/wiki/Walda_Lucenqui,https://es.wikipedia.org/w/api.php?action=query&prop=info&titles=Walda_Lucenqui&format=json,"{""batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Walda_Lucenqui"",""to"":""Walda Lucenqui""}],""pages"":{""10364927"":{""pageid"":10364927,""ns"":0,""title"":""Walda Lucenqui"",""contentmodel"":""wikitext"",""pagelanguage"":""es"",""pagelanguagehtmlcode"":""es"",""pagelanguagedir"":""ltr"",""touched"":""2025-08-05T10:53:17Z"",""lastrevid"":147406395,""length"":1686}}}}",1686
